NR_CNPJ;NM_EMPRESA;NR_CONTRATO;AN_INICIO_VIGENCIA;AN_FIM_VIGENCIA;AN_CONTRATO;CD_MOEDA;VL_CONTRATO;TP_CONTRATO
31.864.187/0001-03;REZIDUALL GESTÃO DE RESÍDUOS LTDA.;30/2020;1/3/2021;1/3/2022;2020;BRL;15938.88;Servicos
21.547.011/0001-66;ALLTECH SOLUCOES EM TECNOLOGIA LTDA.;01/2021;1/10/2021;1/06/2024;2021;BRL;252600;Informatica (TIC)
Instituição estrangeira;AMERICAN CHEMCAL SOCIETY (ACS);03/2021;2/1/2021;2/1/2022;2021;USD;2393440;Portal de Periodicos da CAPES
Instituição estrangeira;TAYLOR & FRANCIS GROUP (T&F);05/2021;4/02/2021;4/12/2022;2021;USD;1577950.4;Portal de Periodicos da CAPES
Instituição estrangeira;INSTITUTION OF CIVIL ENGINEERS (ICE);06/2021;5/12/2021;" 24/06/2024";2021;USD;8846835;Portal de Periodicos da CAPES
Instituição estrangeira;ASSOCIANTION FOR COMPUTING MACHINERY - ACM;07/2021;" 24/05/2021";" 24/03/2023";2021;USD;979678.22;Portal de Periodicos da CAPES
37.977.691/0007-83;ESPAÇO & FORMA  MOVEIS E DIVISÓRIAS LTDA;08/2021;7/9/2021;7/9/2022;2021;BRL;2116448;Servicos
04.892.991/0001-15;TELTEC SOLUCTIONS LTDA.;09/2021;6/11/2021;6/11/2022;2021;BRL;248301.6;Informatica (TIC)
Instituição estrangeira;OVID TECHNOLOGIES, INC.;11/2021;7/12/2021;7/11/2022;2021;USD;2349347.33;Portal de Periodicos da CAPES
04.496.615/0001-01;TECHNOCOPY SERVICE EIREL;12/2021;7/1/2021;7/1/2025;2021;BRL;1073927.04;Informatica (TIC)
61.383.493/0001-80;SOMPO SEGUROS S.A.;13/2021;8/12/2021;8/12/2022;2021;BRL;33800;Servicos
18.404.076/0001-48;FRC COMÉRCIO E SERVIÇOS LTDA. - ME;14/2021;8/04/2021;8/04/2022;2021;BRL;275995;Servicos
20.811.748/0001-81;WALVERDE FACILITIES SERVIÇOS EM MOBILIÓRIOS LTDA.;16/2021;9/06/2021;9/06/2022;2021;BRL;17496;Servicos
05.058.935/0001-42;INTERATIVA FACILITIES LTDA.;17/2021;9/4/2021;9/4/2022;2021;BRL;1525998.12;Servicos
04.929.322/0001-70;LAYER TECNOLOGIA DA INFORMAÇÃO LTDA.;18/2021;10/6/2021;10/6/2024;2021;BRL;2837072;Informatica (TIC)
00.346.098/0001-33;MULIER LABORATÓRIO CLÓNICO LTDA.;20/2021;11/8/2021;5/8/2022;2021;BRL;144600;Servicos de Saude
29.261.229/0001-61;ASSOCIACAO BRASILEIRA DE EDITORES CIENTIFICOS - ABEC BRASIL;21/2021;" 01/12/2021";" 01/12/2024";2021;BRL;2515.2;Servicos
09.132.659/0001-76;EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;22/2021;12/10/2021;12/10/2022;2021;BRL;2248.8;Servicos
34.028.316/0007-07;EMPRESA BRASILEIRA  DE CORREIOS E TELÉGRAFOS;20554/2021;" 02/02/2021";" 02/02/2026";2021;BRL;400000;Servicos
34.028.316/0007-07;EMPRESA BRASILEIRA  DE CORREIOS E TELÉGRAFOS;36928/2021;5/06/2021;5/06/2022;2021;BRL;50000;Servicos
33.683.111/0001-07;SERVIÇO FEDERAL DE PROCESSAMENTO DE DADOS - SEPRO;39230/2021;1/12/2021;1/12/2022;2021;BRL;2508;Servicos
Instituição estrangeira;AMERICAN SOCIETY FOR MICROBIOLOGY - ASM;01/2022;3/01/2022;3/01/2024;2022;USD;246707.36;Portal de Periodicos da CAPES
Instituição estrangeira;ROYAL SOCIETY PUBLISHING - RSP;02/2022;" 10/03/2022";" 10/03/2023";2022;USD;204737.28;Portal de Periodicos da CAPES
68.558.972/0002-10;GLS ENGENHARIA E CONSULTORIA LTDA.;03/2022;1/11/2022;1/11/2023;2022;BRL;190899.92;Servicos
28.499.773/0001-83;BY INFORMATION TECNHNOLOGY SERVICES EIRELI EPP;04/2022;1/08/2022;1/08/2023;2022;BRL;24249.96;Servicos
Instituição estrangeira;AMERICAN INSTITUTE OF PHYSICS PUBLISCHIG-AIPP;05/2022;5/10/2022;5/10/2024;2022;USD;688929.54;Portal de Periodicos da CAPES
Instituição estrangeira;AMERICAN PHYSICAL SOCIETY (APS);06/2022;" 10/03/2022";" 10/03/2023";2022;USD;445070.7;Portal de Periodicos da CAPES
11.292.432/0001-30;5 ESTRELAS SOLUTION EM TRANSPORTES E LOGÍSTICAS LTDA;07/2022;2/12/2022;2/12/2023;2022;BRL;222550;Servioos
Instituição estrangeira;THE INTERNATIONAL SOCIETY FOR OPTICS AND PHOTONICS - SPIE;08/2022;4/1/2022;4/1/2026;2022;USD;341701.92;Portal de Periodicos da CAPES
Instituição estrangeira;THE AMERICAN SOCIETY OF MECHANICAL ENGINEER (ASME);09/2022;4/12/2022;4/12/2026;2022;USD;1018014.6;Portal de Periodicos da CAPES
00.875.135/0001-09;PHONOWAY SOLUÇÕES EM TELEINFORMÁTICA LTDA. - EPP;11/2022;3/07/2022;3/07/2023;2022;BRL;12234;Compras
19.525.226/0001-34;TAG LABS INOVAÇÃO E TECNOLOGIA EIRELI;12/2022;" 16/03/2022";" 16/03/2023";2022;BRL;32042;Compras
26.145.027/0001-66;MTSI COMERCIO E SERVICOS DE IMPRESSÃOO EIRELI;13/2022;4/12/2022;4/12/2023;2022;BRL;48490;Servicos
14.139.773/0001-68;EXTREME DIGITAL CONSULTORIA E REPRESENTANTES LTDA.;14/2022;" 28/04/2022";" 28/04/2024";2022;BRL;910156.51;Informatica (TIC)
Instituição estrangeira;JOHN WILEY & SONS, INC.;15/2022;4/02/2022;4/02/2023;2022;USD;3577643.8;Portal de Periodicos da CAPES
25.054.102/0001-10;JR DECORAÇÕES E COMÉRCIO EM GERAL LTDA.;16/2022;5/4/2022;5/4/2023;2022;BRL;208000;Servicos
Instituição estrangeira;AMERICAN CHEMCAL SOCIETY (ACS);17/2022;5/11/2022;5/11/2025;2022;USD;6489525;Portal de Periodicos da CAPES
Instituição estrangeira;SAGE PUBLICATIONS INC.;18/2022;6/01/2022;6/01/2025;2022;USD;2037582;Portal de Periodicos da CAPES
03.508.097/0001-36;REDE NACIONAL DE ENSINO E PESQUISA - RNP;19/2022;" 01/06/2022";" 30/06/2024";2022;BRL;5909210.57;Servicos
Instituição estrangeira;ORGANISATION FOR ECONOMIC CO-OPERATION AND DEVELOPMENT - OECD;20/2022;" 10/11/2022";" 10/11/2025";2022;USD;949853.52;Portal de Periodicos da CAPES
