NR_CNPJ;NM_EMPRESA;NR_CONTRATO;AN_INICIO_VIGENCIA;AN_FIM_VIGENCIA;AN_CONTRATO;CD_MOEDA;VL_CONTRATO;TP_CONTRATO
31.864.187/0001-03;REZIDUALL GESTAO DE RESIDUOS LTDA.;30/2020;2021-03-01;2022-03-01;2020;BRL;15938.88;Servicos
21.547.011/0001-66;ALLTECH SOLUCOES EM TECNOLOGIA LTDA.;01/2021;2021-10-01;2024-06-01;2021;BRL;252600.0;Informatica (TIC)
Instituicao estrangeira;AMERICAN CHEMCAL SOCIETY (ACS);03/2021;2021-01-02;2022-01-02;2021;USD;2393440.0;Portal de Periodicos da CAPES
Instituicao estrangeira;TAYLOR & FRANCIS GROUP (T&F);05/2021;2021-02-04;2022-12-04;2021;USD;1577950.4;Portal de Periodicos da CAPES
Instituicao estrangeira;INSTITUTION OF CIVIL ENGINEERS (ICE);06/2021;2021-12-05;2024-06-24;2021;USD;8846835.0;Portal de Periodicos da CAPES
Instituicao estrangeira;ASSOCIANTION FOR COMPUTING MACHINERY - ACM;07/2021;2021-05-24;2023-03-24;2021;USD;979678.22;Portal de Periodicos da CAPES
37.977.691/0007-83;ESPACO & FORMA  MOVEIS E DIVISORIAS LTDA;08/2021;2021-09-07;2022-09-07;2021;BRL;2116448.0;Servicos
04.892.991/0001-15;TELTEC SOLUCTIONS LTDA.;09/2021;2021-11-06;2022-11-06;2021;BRL;248301.6;Informatica (TIC)
Instituicao estrangeira;OVID TECHNOLOGIES, INC.;11/2021;2021-12-07;2022-11-07;2021;USD;2349347.33;Portal de Periodicos da CAPES
04.496.615/0001-01;TECHNOCOPY SERVICE EIREL;12/2021;2021-01-07;2025-01-07;2021;BRL;1073927.04;Informatica (TIC)
61.383.493/0001-80;SOMPO SEGUROS S.A.;13/2021;2021-12-08;2022-12-08;2021;BRL;33800.0;Servicos
18.404.076/0001-48;FRC COMERCIO E SERVICOS LTDA. - ME;14/2021;2021-04-08;2022-04-08;2021;BRL;275995.0;Servicos
20.811.748/0001-81;WALVERDE FACILITIES SERVICOS EM MOBILIORIOS LTDA.;16/2021;2021-06-09;2022-06-09;2021;BRL;17496.0;Servicos
05.058.935/0001-42;INTERATIVA FACILITIES LTDA.;17/2021;2021-04-09;2022-04-09;2021;BRL;1525998.12;Servicos
04.929.322/0001-70;LAYER TECNOLOGIA DA INFORMACAO LTDA.;18/2021;2021-06-10;2024-06-10;2021;BRL;2837072.0;Informatica (TIC)
00.346.098/0001-33;MULIER LABORATORIO CLONICO LTDA.;20/2021;2021-08-11;2022-08-05;2021;BRL;144600.0;Servicos de Saude
29.261.229/0001-61;ASSOCIACAO BRASILEIRA DE EDITORES CIENTIFICOS - ABEC BRASIL;21/2021;2021-12-01;2024-12-01;2021;BRL;2515.2;Servicos
09.132.659/0001-76;EMBRATEL TVSAT TELECOMUNICACOES S.A.;22/2021;2021-10-12;2022-10-12;2021;BRL;2248.8;Servicos
34.028.316/0007-07;EMPRESA BRASILEIRA  DE CORREIOS E TELEGRAFOS;20554/2021;2021-02-02;2026-02-02;2021;BRL;400000.0;Servicos
34.028.316/0007-07;EMPRESA BRASILEIRA  DE CORREIOS E TELEGRAFOS;36928/2021;2021-06-05;2022-06-05;2021;BRL;50000.0;Servicos
33.683.111/0001-07;SERVICO FEDERAL DE PROCESSAMENTO DE DADOS - SEPRO;39230/2021;2021-12-01;2022-12-01;2021;BRL;2508.0;Servicos
Instituicao estrangeira;AMERICAN SOCIETY FOR MICROBIOLOGY - ASM;01/2022;2022-01-03;2024-01-03;2022;USD;246707.36;Portal de Periodicos da CAPES
Instituicao estrangeira;ROYAL SOCIETY PUBLISHING - RSP;02/2022;2022-03-10;2023-03-10;2022;USD;204737.28;Portal de Periodicos da CAPES
68.558.972/0002-10;GLS ENGENHARIA E CONSULTORIA LTDA.;03/2022;2022-11-01;2023-11-01;2022;BRL;190899.92;Servicos
28.499.773/0001-83;BY INFORMATION TECNHNOLOGY SERVICES EIRELI EPP;04/2022;2022-08-01;2023-08-01;2022;BRL;24249.96;Servicos
Instituicao estrangeira;AMERICAN INSTITUTE OF PHYSICS PUBLISCHIG-AIPP;05/2022;2022-10-05;2024-10-05;2022;USD;688929.54;Portal de Periodicos da CAPES
Instituicao estrangeira;AMERICAN PHYSICAL SOCIETY (APS);06/2022;2022-03-10;2023-03-10;2022;USD;445070.7;Portal de Periodicos da CAPES
11.292.432/0001-30;5 ESTRELAS SOLUTION EM TRANSPORTES E LOGISTICAS LTDA;07/2022;2022-12-02;2023-12-02;2022;BRL;222550.0;Servioos
Instituicao estrangeira;THE INTERNATIONAL SOCIETY FOR OPTICS AND PHOTONICS - SPIE;08/2022;2022-01-04;2026-01-04;2022;USD;341701.92;Portal de Periodicos da CAPES
Instituicao estrangeira;THE AMERICAN SOCIETY OF MECHANICAL ENGINEER (ASME);09/2022;2022-12-04;2026-12-04;2022;USD;1018014.6;Portal de Periodicos da CAPES
00.875.135/0001-09;PHONOWAY SOLUCOES EM TELEINFORMATICA LTDA. - EPP;11/2022;2022-07-03;2023-07-03;2022;BRL;12234.0;Compras
19.525.226/0001-34;TAG LABS INOVACAO E TECNOLOGIA EIRELI;12/2022;2022-03-16;2023-03-16;2022;BRL;32042.0;Compras
26.145.027/0001-66;MTSI COMERCIO E SERVICOS DE IMPRESSAOO EIRELI;13/2022;2022-12-04;2023-12-04;2022;BRL;48490.0;Servicos
14.139.773/0001-68;EXTREME DIGITAL CONSULTORIA E REPRESENTANTES LTDA.;14/2022;2022-04-28;2024-04-28;2022;BRL;910156.51;Informatica (TIC)
Instituicao estrangeira;JOHN WILEY & SONS, INC.;15/2022;2022-02-04;2023-02-04;2022;USD;3577643.8;Portal de Periodicos da CAPES
25.054.102/0001-10;JR DECORACOES E COMERCIO EM GERAL LTDA.;16/2022;2022-04-05;2023-04-05;2022;BRL;208000.0;Servicos
Instituicao estrangeira;AMERICAN CHEMCAL SOCIETY (ACS);17/2022;2022-11-05;2025-11-05;2022;USD;6489525.0;Portal de Periodicos da CAPES
Instituicao estrangeira;SAGE PUBLICATIONS INC.;18/2022;2022-01-06;2025-01-06;2022;USD;2037582.0;Portal de Periodicos da CAPES
