NR_CNPJ,NM_EMPRESA,NR_CONTRATO,AN_INICIO_VIGENCIA,AN_FIM_VIGENCIA,AN_CONTRATO,CD_MOEDA,VL_CONTRATO,TP_CONTRATO,CONTRATO_ACIMA_500K
31.864.187/0001-03,REZIDUALL GESTAO DE RESIDUOS LTDA.,30/2020,2021-03-01,2022-03-01,2020,BRL,15938.88,Servicos,Não
37.977.691/0007-83,ESPACO & FORMA  MOVEIS E DIVISORIAS LTDA,08/2021,2021-09-07,2022-09-07,2021,BRL,2116448.0,Servicos,Sim
61.383.493/0001-80,SOMPO SEGUROS S.A.,13/2021,2021-12-08,2022-12-08,2021,BRL,33800.0,Servicos,Não
18.404.076/0001-48,FRC COMERCIO E SERVICOS LTDA. - ME,14/2021,2021-04-08,2022-04-08,2021,BRL,275995.0,Servicos,Não
20.811.748/0001-81,WALVERDE FACILITIES SERVICOS EM MOBILIORIOS LTDA.,16/2021,2021-06-09,2022-06-09,2021,BRL,17496.0,Servicos,Não
05.058.935/0001-42,INTERATIVA FACILITIES LTDA.,17/2021,2021-04-09,2022-04-09,2021,BRL,1525998.12,Servicos,Sim
29.261.229/0001-61,ASSOCIACAO BRASILEIRA DE EDITORES CIENTIFICOS - ABEC BRASIL,21/2021,2021-12-01,2024-12-01,2021,BRL,2515.2,Servicos,Não
09.132.659/0001-76,EMBRATEL TVSAT TELECOMUNICACOES S.A.,22/2021,2021-10-12,2022-10-12,2021,BRL,2248.8,Servicos,Não
34.028.316/0007-07,EMPRESA BRASILEIRA  DE CORREIOS E TELEGRAFOS,20554/2021,2021-02-02,2026-02-02,2021,BRL,400000.0,Servicos,Não
34.028.316/0007-07,EMPRESA BRASILEIRA  DE CORREIOS E TELEGRAFOS,36928/2021,2021-06-05,2022-06-05,2021,BRL,50000.0,Servicos,Não
33.683.111/0001-07,SERVICO FEDERAL DE PROCESSAMENTO DE DADOS - SEPRO,39230/2021,2021-12-01,2022-12-01,2021,BRL,2508.0,Servicos,Não
68.558.972/0002-10,GLS ENGENHARIA E CONSULTORIA LTDA.,03/2022,2022-11-01,2023-11-01,2022,BRL,190899.92,Servicos,Não
28.499.773/0001-83,BY INFORMATION TECNHNOLOGY SERVICES EIRELI EPP,04/2022,2022-08-01,2023-08-01,2022,BRL,24249.96,Servicos,Não
26.145.027/0001-66,MTSI COMERCIO E SERVICOS DE IMPRESSAOO EIRELI,13/2022,2022-12-04,2023-12-04,2022,BRL,48490.0,Servicos,Não
25.054.102/0001-10,JR DECORACOES E COMERCIO EM GERAL LTDA.,16/2022,2022-04-05,2023-04-05,2022,BRL,208000.0,Servicos,Não
03.508.097/0001-36,REDE NACIONAL DE ENSINO E PESQUISA - RNP,19/2022,2022-06-01,2024-06-30,2022,BRL,5909210.57,Servicos,Sim
11.162.311/0001-73,R7 FACILITIES - SERVICOS D?E ENGENHARIA EIRELI,25/2022,2022-05-09,2022-12-11,2022,BRL,190003.24,Servicos,Não
33.065.699/0001-27,SEGUROS SURA S/A.,39/2022,2022-01-12,2023-12-12,2022,BRL,4800.0,Servicos,Não
